year_month,stage_index,stage,machines,operators_per_shift,ideal_cycle_time_sec,actual_cycle_time_sec,available_hours_per_day,operating_hours_per_day,theoretical_capacity_per_day,effective_capacity_per_day,actual_units_per_day,actual_good_units_per_day,capacity_utilisation_pct,downtime_pct,defect_pct,availability,performance,quality,oee
2024-06,2,Mixing,2,2,2.6,2.77,32.0,28.38,44308.0,36501.0,36943.0,36499.0,83.38,11.31,1.2,0.8869,0.9401,0.988,0.8238
2024-06,3,Processing,2,2,2.4,2.51,32.0,29.0,48000.0,41218.0,41546.0,41216.0,86.55,9.36,0.8,0.9064,0.955,0.992,0.8587
2024-06,4,Filling,3,3,4.0,4.47,48.0,40.35,43200.0,31722.0,32530.0,31721.0,75.3,15.93,2.49,0.8407,0.8957,0.9751,0.7343
2024-06,5,Packaging,3,4,3.4,3.67,48.0,36.07,50824.0,34829.0,35362.0,34830.0,69.58,24.86,1.51,0.7514,0.9259,0.9849,0.6853
2024-06,6,Quality Inspection,2,3,2.3,2.49,32.0,29.52,50087.0,42619.0,42657.0,42617.0,85.17,7.76,0.09,0.9224,0.9233,0.9991,0.8509
2024-06,7,Dispatch,2,3,2.0,2.14,32.0,30.55,57600.0,51448.0,51502.0,51451.0,89.41,4.53,0.1,0.9547,0.9365,0.999,0.8932
2024-07,1,Raw Material Preparation,2,2,2.2,2.3,32.0,29.33,52364.0,45823.0,45967.0,45826.0,87.78,8.34,0.31,0.9166,0.9578,0.9969,0.8751
2024-07,2,Mixing,2,2,2.6,2.77,32.0,28.49,44308.0,36647.0,37086.0,36646.0,83.7,10.98,1.19,0.8902,0.9402,0.9881,0.8271
2024-07,3,Processing,2,2,2.4,2.54,32.0,29.16,48000.0,40992.0,41332.0,40992.0,86.11,8.87,0.82,0.9113,0.9449,0.9918,0.854
2024-07,4,Filling,3,3,4.0,4.46,48.0,39.81,43200.0,31368.0,32125.0,31368.0,74.36,17.05,2.36,0.8295,0.8965,0.9764,0.7261
2024-07,5,Packaging,3,4,3.4,3.64,48.0,37.0,50824.0,36019.0,36587.0,36019.0,71.99,22.91,1.55,0.7709,0.9338,0.9845,0.7087
2024-07,6,Quality Inspection,2,3,2.3,2.5,32.0,29.53,50087.0,42514.0,42559.0,42516.0,84.97,7.72,0.1,0.9228,0.9208,0.999,0.8488
2024-07,7,Dispatch,2,3,2.0,2.12,32.0,30.5,57600.0,51805.0,51853.0,51804.0,90.02,4.68,0.09,0.9532,0.9444,0.9991,0.8994
2024-08,1,Raw Material Preparation,2,2,2.2,2.31,32.0,29.15,52364.0,45352.0,45492.0,45354.0,86.88,8.91,0.3,0.9109,0.9538,0.997,0.8661
2024-08,2,Mixing,2,2,2.6,2.77,32.0,28.43,44308.0,36465.0,36914.0,36465.0,83.31,11.15,1.22,0.8885,0.9377,0.9878,0.823
2024-08,3,Processing,2,2,2.4,2.52,32.0,29.2,48000.0,41323.0,41663.0,41323.0,86.8,8.74,0.82,0.9126,0.9512,0.9918,0.8609
2024-08,4,Filling,3,3,4.0,4.46,48.0,39.14,43200.0,30832.0,31603.0,30834.0,73.16,18.47,2.43,0.8153,0.8973,0.9757,0.7137
2024-08,5,Packaging,3,4,3.4,3.67,48.0,36.5,50824.0,35282.0,35810.0,35282.0,70.46,23.96,1.48,0.7604,0.9266,0.9852,0.6942
2024-08,6,Quality Inspection,2,3,2.3,2.53,32.0,29.83,50087.0,42323.0,42366.0,42326.0,84.59,6.78,0.1,0.9322,0.9074,0.999,0.845
2024-08,7,Dispatch,2,3,2.0,2.14,32.0,30.19,57600.0,50636.0,50691.0,50638.0,88.0,5.67,0.1,0.9433,0.9329,0.999,0.8791
2024-09,1,Raw Material Preparation,2,2,2.2,2.31,32.0,29.4,52364.0,45750.0,45877.0,45748.0,87.61,8.13,0.28,0.9187,0.9537,0.9972,0.8737
2024-09,2,Mixing,2,2,2.6,2.77,32.0,28.36,44308.0,36470.0,36919.0,36472.0,83.32,11.38,1.21,0.8862,0.9403,0.9879,0.8231
2024-09,3,Processing,2,2,2.4,2.53,32.0,29.14,48000.0,41213.0,41533.0,41214.0,86.53,8.94,0.77,0.9106,0.9502,0.9923,0.8586
2024-09,4,Filling,3,3,4.0,4.47,48.0,40.13,43200.0,31506.0,32292.0,31505.0,74.75,16.41,2.44,0.8359,0.8942,0.9756,0.7293
2024-09,5,Packaging,3,4,3.4,3.64,48.0,36.68,50824.0,35714.0,36260.0,35713.0,71.35,23.58,1.51,0.7642,0.9336,0.9849,0.7027
2024-09,6,Quality Inspection,2,3,2.3,2.5,32.0,29.53,50087.0,42434.0,42480.0,42434.0,84.81,7.73,0.11,0.9227,0.9192,0.9989,0.8472
2024-09,7,Dispatch,2,3,2.0,2.13,32.0,30.03,57600.0,50636.0,50686.0,50638.0,88.0,6.15,0.09,0.9385,0.9377,0.9991,0.8791
2024-10,1,Raw Material Preparation,2,2,2.2,2.29,32.0,29.02,52364.0,45488.0,45623.0,45490.0,87.13,9.32,0.29,0.9068,0.9608,0.9971,0.8687
2024-10,2,Mixing,2,2,2.6,2.77,32.0,28.82,44308.0,36992.0,37454.0,36991.0,84.53,9.93,1.24,0.9007,0.9385,0.9876,0.8349
2024-10,3,Processing,2,2,2.4,2.54,32.0,28.95,48000.0,40608.0,40945.0,40610.0,85.3,9.55,0.82,0.9045,0.9431,0.9918,0.846
2024-10,4,Filling,3,3,4.0,4.45,48.0,39.76,43200.0,31389.0,32196.0,31391.0,74.53,17.16,2.5,0.8284,0.8996,0.975,0.7266
2024-10,5,Packaging,3,4,3.4,3.67,48.0,36.29,50824.0,35053.0,35611.0,35053.0,70.07,24.39,1.57,0.7561,0.9267,0.9843,0.6897
2024-10,6,Quality Inspection,2,3,2.3,2.51,32.0,29.66,50087.0,42549.0,42594.0,42550.0,85.04,7.31,0.1,0.9269,0.9174,0.999,0.8495
2024-10,7,Dispatch,2,3,2.0,2.13,32.0,30.06,57600.0,50665.0,50716.0,50666.0,88.05,6.07,0.1,0.9393,0.9374,0.999,0.8796
2024-11,1,Raw Material Preparation,2,2,2.2,2.3,32.0,29.38,52364.0,45755.0,45889.0,45754.0,87.64,8.19,0.29,0.9181,0.9546,0.9971,0.8738
2024-11,2,Mixing,2,2,2.6,2.77,32.0,27.92,44308.0,35889.0,36332.0,35890.0,82.0,12.75,1.22,0.8725,0.9398,0.9878,0.81
2024-11,3,Processing,2,2,2.4,2.52,32.0,28.95,48000.0,41002.0,41340.0,41003.0,86.12,9.52,0.81,0.9048,0.9518,0.9919,0.8542
2024-11,4,Filling,3,3,4.0,4.44,48.0,40.09,43200.0,31735.0,32510.0,31735.0,75.25,16.47,2.38,0.8353,0.901,0.9762,0.7346
2024-11,5,Packaging,3,4,3.4,3.64,48.0,35.33,50824.0,34413.0,34935.0,34411.0,68.74,26.39,1.5,0.7361,0.9338,0.985,0.6771
2024-11,6,Quality Inspection,2,3,2.3,2.5,32.0,29.58,50087.0,42609.0,42651.0,42608.0,85.15,7.56,0.1,0.9244,0.9212,0.999,0.8507
2024-11,7,Dispatch,2,3,2.0,2.13,32.0,29.87,57600.0,50319.0,50367.0,50321.0,87.44,6.66,0.09,0.9334,0.9368,0.9991,0.8736
2024-12,1,Raw Material Preparation,2,2,2.2,2.29,32.0,29.16,52364.0,45677.0,45815.0,45679.0,87.49,8.89,0.3,0.9111,0.9603,0.997,0.8723
2024-12,2,Mixing,2,2,2.6,2.77,32.0,28.2,44308.0,36208.0,36644.0,36206.0,82.7,11.87,1.19,0.8813,0.9385,0.9881,0.8172
2024-12,3,Processing,2,2,2.4,2.52,32.0,29.07,48000.0,41141.0,41452.0,41140.0,86.36,9.16,0.75,0.9084,0.9506,0.9925,0.8571
2024-12,4,Filling,3,3,4.0,4.44,48.0,40.2,43200.0,31761.0,32584.0,31760.0,75.43,16.24,2.53,0.8376,0.9005,0.9747,0.7352
2024-12,5,Packaging,3,4,3.4,3.66,48.0,35.93,50824.0,34860.0,35392.0,34861.0,69.64,25.14,1.5,0.7486,0.9302,0.985,0.6859
2024-12,6,Quality Inspection,2,3,2.3,2.5,32.0,29.88,50087.0,42904.0,42948.0,42907.0,85.75,6.62,0.1,0.9338,0.9182,0.999,0.8566
2024-12,7,Dispatch,2,3,2.0,2.13,32.0,30.12,57600.0,50797.0,50850.0,50795.0,88.28,5.87,0.11,0.9413,0.9379,0.9989,0.8819
2025-01,1,Raw Material Preparation,2,2,2.2,2.3,32.0,29.65,52364.0,46232.0,46370.0,46230.0,88.55,7.35,0.3,0.9265,0.9558,0.997,0.8829
2025-01,2,Mixing,2,2,2.6,2.78,32.0,28.26,44308.0,36133.0,36537.0,36133.0,82.46,11.68,1.1,0.8832,0.9337,0.989,0.8155
2025-01,3,Processing,2,2,2.4,2.53,32.0,29.08,48000.0,40982.0,41323.0,40983.0,86.09,9.13,0.82,0.9087,0.9474,0.9918,0.8538
2025-01,4,Filling,3,3,4.0,4.45,48.0,39.5,43200.0,31121.0,31934.0,31120.0,73.92,17.7,2.55,0.823,0.8982,0.9745,0.7204
2025-01,5,Packaging,3,4,3.4,3.66,48.0,36.29,50824.0,35150.0,35679.0,35147.0,70.2,24.4,1.49,0.756,0.9286,0.9851,0.6916
2025-01,6,Quality Inspection,2,3,2.3,2.49,32.0,29.48,50087.0,42534.0,42580.0,42535.0,85.01,7.86,0.1,0.9214,0.9227,0.999,0.8492
2025-01,7,Dispatch,2,3,2.0,2.14,32.0,29.83,57600.0,50193.0,50246.0,50193.0,87.23,6.79,0.11,0.9321,0.9359,0.9989,0.8714
2025-02,1,Raw Material Preparation,2,2,2.2,2.3,32.0,29.09,52364.0,45342.0,45477.0,45344.0,86.85,9.1,0.29,0.909,0.9554,0.9971,0.8659
2025-02,2,Mixing,2,2,2.6,2.79,32.0,28.41,44308.0,36248.0,36698.0,36250.0,82.82,11.23,1.22,0.8877,0.933,0.9878,0.8181
2025-02,3,Processing,2,2,2.4,2.55,32.0,28.74,48000.0,40325.0,40643.0,40325.0,84.67,10.19,0.78,0.8981,0.9428,0.9922,0.8401
2025-02,4,Filling,3,3,4.0,4.48,48.0,39.28,43200.0,30802.0,31579.0,30800.0,73.1,18.17,2.47,0.8183,0.8933,0.9753,0.713
2025-02,5,Packaging,3,4,3.4,3.68,48.0,35.25,50824.0,33915.0,34454.0,33916.0,67.79,26.56,1.56,0.7344,0.9231,0.9844,0.6673
2025-02,6,Quality Inspection,2,3,2.3,2.52,32.0,29.61,50087.0,42273.0,42318.0,42274.0,84.49,7.46,0.1,0.9254,0.913,0.999,0.844
2025-02,7,Dispatch,2,3,2.0,2.13,32.0,29.83,57600.0,50435.0,50484.0,50434.0,87.65,6.78,0.1,0.9322,0.9403,0.999,0.8756
2025-03,1,Raw Material Preparation,2,2,2.2,2.3,32.0,29.32,52364.0,45750.0,45890.0,45752.0,87.64,8.37,0.3,0.9163,0.9565,0.997,0.8737
2025-03,2,Mixing,2,2,2.6,2.76,32.0,28.31,44308.0,36487.0,36926.0,36487.0,83.34,11.52,1.19,0.8848,0.9419,0.9881,0.8235
2025-03,3,Processing,2,2,2.4,2.54,32.0,28.74,48000.0,40421.0,40759.0,40422.0,84.91,10.2,0.83,0.898,0.9456,0.9917,0.8421
2025-03,4,Filling,3,3,4.0,4.46,48.0,39.37,43200.0,31009.0,31791.0,31010.0,73.59,17.98,2.46,0.8202,0.8972,0.9754,0.7178
2025-03,5,Packaging,3,4,3.4,3.65,48.0,35.61,50824.0,34540.0,35079.0,34542.0,69.02,25.82,1.53,0.7418,0.9305,0.9847,0.6796
2025-03,6,Quality Inspection,2,3,2.3,2.5,32.0,29.5,50087.0,42504.0,42547.0,42504.0,84.95,7.8,0.1,0.922,0.9213,0.999,0.8486
2025-03,7,Dispatch,2,3,2.0,2.13,32.0,30.14,57600.0,50803.0,50863.0,50806.0,88.3,5.8,0.11,0.942,0.9374,0.9989,0.882
